"","constit","election_type","year","turnout","pct_rejected"
"1","Bahati","parliamentary",2016,0.517785839779132,0.0207552989908782
"2","Bangweulu","parliamentary",2016,0.551175745987388,0.0339571033056473
"3","Bwacha","parliamentary",2016,0.525792204450924,0.0248328168324906
"4","Bwana Mkubwa","parliamentary",2016,0.529328919210579,0.0240843123704216
"5","Bweengwa","parliamentary",2016,0.760225324516287,0.0124263622974963
"6","Chadiza","parliamentary",2016,0.560873689337811,0.0463479294268215
"7","Chama North","parliamentary",2016,0.593431011735296,0.0266791481394805
"8","Chama South","parliamentary",2016,0.60083998669328,0.0405564398920341
"9","Chasefu","parliamentary",2016,0.460640806700821,0.0285550357489628
"10","Chavuma","parliamentary",2016,0.657493810702723,0.0187545257060101
"11","Chawama","parliamentary",2016,0.566736333087452,0.0181315304240934
"12","Chembe","parliamentary",2016,0.423055202597769,0.0407141665276156
"13","Chienge","parliamentary",2016,0.361233402287876,0.0398903626841564
"14","Chifubu","parliamentary",2016,0.566667953071936,0.0161405659413628
"15","Chifunabuli","parliamentary",2016,0.554490349742575,0.0365457622467182
"16","Chikankata","parliamentary",2016,0.7018164410521,0.0204630717344348
"17","Chilanga","parliamentary",2016,0.552606119240537,0.0266987635408688
"18","Chililabombwe","parliamentary",2016,0.541874793492838,0.0171449067431851
"19","Chilubi","parliamentary",2016,0.53970906442145,0.0262384884090187
"20","Chimbamilonga","parliamentary",2016,0.586781758233616,0.0205821074562788
"21","Chimwemwe","parliamentary",2016,0.553707672524646,0.0270939773958817
"22","Chingola","parliamentary",2016,0.534056242319092,0.022659591748335
"23","Chinsali","parliamentary",2016,0.590712379756486,0.0260021257212268
"24","Chipangali","parliamentary",2016,0.44984293972231,0.0333856706057351
"25","Chipata Central","parliamentary",2016,0.51376537298004,0.0285832642916321
"26","Chipili","parliamentary",2016,0.6929172587168,0.0182979730262639
"27","Chirundu","parliamentary",2016,0.728032836728489,0.0172791814575068
"28","Chisamba","parliamentary",2016,0.489078761403058,0.0310871754455099
"29","Chitambo","parliamentary",2016,0.454537825703856,0.0273239176590049
"30","Choma Central","parliamentary",2016,0.723655111593515,0.0189361981363781
"31","Chongwe","parliamentary",2016,0.517490681482523,0.030686852762904
"32","Dundumwezi","parliamentary",2016,0.785306935624455,0.0215640261305258
"33","Feira","parliamentary",2016,0.635971875708777,0.0212791250594389
"34","Gwembe","parliamentary",2016,0.77830856334041,0.0179586269606729
"35","Ikeleng'i","parliamentary",2016,0.698141378777738,0.0195427728613569
"36","Isoka","parliamentary",2016,0.578734778734779,0.0204249204557118
"37","Itezhitezhi","parliamentary",2016,0.66319540985264,0.021228752191478
"38","Kabompo","parliamentary",2016,0.63476753489199,0.019116308381766
"39","Kabushi","parliamentary",2016,0.556978233034571,0.0170183564933951
"40","Kabwata","parliamentary",2016,0.554509780486833,0.00948361023798833
"41","Kabwe Central","parliamentary",2016,0.5352335467778,0.015771526001705
